source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Cộng Đồng Battlegrounds Việt Nam,,2019-07-13 16:30:00,"""Yên tâm đi tao chạy xe an toàn lắm"" :) #Punch",2K,1K,908,9,2,81,2,567 bình luậ,2389186464652255,/story.php?story_fbid=2389186464652255&id=1923466774557562
Cộng Đồng Battlegrounds Việt Nam,,2019-07-13 15:00:00,Game là dễ :3 #Bu,2K,"1,4K",594,11,7,40,1,386 bình luậ,2388722868031948,/story.php?story_fbid=2388722868031948&id=1923466774557562
Cộng Đồng Battlegrounds Việt Nam,,2019-07-13 14:30:00,Nghiệp nặng quá không độ được #Punch,4K,"2,1K","1,3K",20,10,558,5,674 bình luậ,2389183774652524,/story.php?story_fbid=2389183774652524&id=1923466774557562
Cộng Đồng Battlegrounds Việt Nam,,2019-07-13 14:00:00,Đủ mua dàn PC xịn rồi :)) #Bu,"1,4K",982,482,3,1,24,,175 bình luậ,2388721914698710,/story.php?story_fbid=2388721914698710&id=1923466774557562
Cộng Đồng Battlegrounds Việt Nam,,2019-07-13 13:00:01,Lại bảo sai :)) #Bu,"4,7K","3,2K","1,2K",16,9,143,4,931 bình luậ,2388720974698804,/story.php?story_fbid=2388720974698804&id=1923466774557562
"Cộng Đồng Battlegrounds Việt Nam,Đâu Phải PUBG",Đâu Phải PUBG,2019-07-13 09:15:39,Nhạc của sếp xâm chiếm thế giới rồi 🤣🤣nó lại đáng yêu vê lù =)) #CK,367,183,175,7,1,1,,63 bình luậ,2389172371320331,/story.php?story_fbid=2389172371320331&id=1923466774557562
Cộng Đồng Battlegrounds Việt Nam,,2019-07-13 12:00:00,Pleaseee 🥺 #Bu,"2,7K","2,1K",454,46,6,30,,572 bình luậ,2389156151321953,/story.php?story_fbid=2389156151321953&id=1923466774557562
Cộng Đồng Battlegrounds Việt Nam,,2019-07-13 11:00:00,Hết sức vô lý #Bu,"2,9K","1,9K",834,3,7,192,,500 bình luậ,2388720628032172,/story.php?story_fbid=2388720628032172&id=1923466774557562
Cộng Đồng Battlegrounds Việt Nam,,2019-07-13 10:00:01,Đóng hộp gỗ trong 5s  #Bu,"1,6K","1,1K",457,10,3,62,,255 bình luậ,2388720041365564,/story.php?story_fbid=2388720041365564&id=1923466774557562
"Cộng Đồng Battlegrounds Việt Nam,Giáo Sư PUBG",Giáo Sư PUBG,2019-07-12 21:00:08,"Có đúng không ta :310 lí do khiến các nàng có thể đổ cái rầm trước một anh chàng chạy bo cùng.1. Tay to, cực kì mạnh mẽ manly, có thể bảo vệ nàng ở bất cứ map nào. 2. Giọng ấm áp, nghe là tan chảy liềnnnn 3. Mặc dù không phải y tá nhưng đôi khi cũng là một y tá xịn xò khi các nàng cần máu đó  4. Nhường các nàng những món đồ mà các nàng loot mãi không ra >""< 5. Tấu hài cực kì giỏi là điều cực kì quan trọng nha. 6. Ngoài thì lạnh lùng nhưng bên trong lại vui vẻ dễ thương. 7. Không nóng nảy mỗi khi các nàng bị knock.  8. Gọi ""Em ơi"" mỗi khi nhảy dù. 9. Nhường mạng cho các nàng. 10. Tất cả để anh lo, em chỉ cần theo anh là đủ.","1,1K",843,306,38,2,10,,273 bình luậ,2388728581364710,/story.php?story_fbid=2388728581364710&id=1923466774557562
