,reactions,comments,post_id
472,38,7 bình luậ,341221163211311
261,38,2 bình luậ,330987537568007
256,38,7 bình luậ,332354554097972
92,38,7 bình luậ,341221163211311
641,38,2 bình luậ,330987537568007
636,38,7 bình luậ,332354554097972
229,38,Bình luậ,333402123993215
270,38,2 bình luậ,328643207802440
650,38,2 bình luậ,328643207802440
609,38,Bình luậ,333402123993215
428,37,3 bình luậ,345314379468656
119,37,2 bình luậ,339653300034764
48,37,3 bình luậ,345314379468656
499,37,2 bình luậ,339653300034764
37,35,2 bình luậ,348957045771056
366,35,111 bình luậ,2623050871056826
306,35,2 bình luậ,348957045771056
417,35,2 bình luậ,348957045771056
629,34,1 bình luậ,332347500765344
673,34,3 bình luậ,330323577634403
293,34,3 bình luậ,330323577634403
249,34,1 bình luậ,332347500765344
529,33,1 bình luậ,338078250192269
198,33,4 bình luậ,331302390869855
149,33,1 bình luậ,338078250192269
578,33,4 bình luậ,331302390869855
425,32,1 bình luậ,345346239465470
374,32,Bình luậ,319946812005413
45,32,1 bình luậ,345346239465470
217,31,Bình luậ,333810470619047
356,31,1 bình luậ,324679941532100
433,31,Bình luậ,345280556138705
597,31,Bình luậ,333810470619047
98,31,2 bình luậ,341166989883395
603,31,Bình luậ,328646544468773
576,31,Bình luậ,334341117232649
196,31,Bình luậ,334341117232649
478,31,2 bình luậ,341166989883395
223,31,Bình luậ,328646544468773
53,31,Bình luậ,345280556138705
317,31,2 bình luậ,341166989883395
59,29,5 bình luậ,343387029661391
550,29,4 bình luậ,336384063695021
439,29,5 bình luậ,343387029661391
170,29,4 bình luậ,336384063695021
179,28,5 bình luậ,335491000450994
559,28,5 bình luậ,335491000450994
432,28,Bình luậ,345286056138155
52,28,Bình luậ,345286056138155
360,27,3 bình luậ,324498941550200
15,26,2 bình luậ,354516038548490
130,26,2 bình luậ,338221186844642
246,26,Bình luậ,332752237391537
395,26,2 bình luậ,354516038548490
449,26,1 bình luậ,341752713158156
626,26,Bình luậ,332752237391537
69,26,1 bình luậ,341752713158156
510,26,2 bình luậ,338221186844642
354,25,2 bình luậ,326481808018580
525,25,Bình luậ,338098806856880
145,25,Bình luậ,338098806856880
471,24,1 bình luậ,341227469877347
105,24,Bình luậ,341097383223689
451,24,Bình luậ,341744876492273
485,24,Bình luậ,341097383223689
91,24,1 bình luậ,341227469877347
136,24,3 bình luậ,338153460184748
487,24,Bình luậ,341080646558696
71,24,Bình luậ,341744876492273
437,24,1 bình luậ,344364156230345
107,24,Bình luậ,341080646558696
263,24,2 bình luậ,330969634236464
516,24,3 bình luậ,338153460184748
342,24,2 bình luậ,330969634236464
58,24,1 bình luậ,344364156230345
643,24,2 bình luậ,330969634236464
517,22,Bình luậ,338147800185314
568,22,1 bình luậ,334445947222166
137,22,Bình luậ,338147800185314
188,22,1 bình luậ,334445947222166
348,22,7 bình luậ,329139177752843
642,21,3 bình luậ,330971287569632
12,21,2 bình luậ,354847411848686
76,21,1 bình luậ,341699569830137
262,21,3 bình luậ,330971287569632
245,21,1 bình luậ,332858637380897
630,21,1 bình luậ,332415134091914
392,21,2 bình luậ,354847411848686
625,21,1 bình luậ,332858637380897
456,21,1 bình luậ,341699569830137
310,21,1 bình luậ,341699569830137
250,21,1 bình luậ,332415134091914
454,20,6 bình luậ,341723606494400
448,20,Bình luậ,341764616490299
248,20,Bình luậ,332460090754085
171,20,4 bình luậ,336017290398365
74,20,6 bình luậ,341723606494400
628,20,Bình luậ,332460090754085
68,20,Bình luậ,341764616490299
551,20,4 bình luậ,336017290398365
566,19,Bình luậ,334448400555254
257,19,Bình luậ,332297034103724
102,19,1 bình luậ,341116816555079
266,19,2 bình luậ,330913624242065
483,19,1 bình luậ,341116816555079
373,19,Bình luậ,320787505254677
415,19,1 bình luậ,349335205733240
646,19,2 bình luậ,330913624242065
186,19,Bình luậ,334448400555254
637,19,Bình luậ,332297034103724
35,19,1 bình luậ,349335205733240
358,18,6 bình luậ,324556681544426
585,17,Bình luậ,333878823945545
474,17,Bình luậ,341192276547533
670,17,Bình luậ,330352877631473
268,17,Bình luậ,330875884245839
648,17,Bình luậ,330875884245839
290,17,Bình luậ,330352877631473
205,17,Bình luậ,333878823945545
94,17,Bình luậ,341192276547533
150,16,Bình luậ,338040356862725
524,16,Bình luậ,338102866856474
255,16,Bình luậ,332383274095100
144,16,Bình luậ,338102866856474
283,16,Bình luậ,330430810957013
530,16,Bình luậ,338040356862725
375,16,7 bình luậ,278398996436191
672,16,Bình luậ,330327814300646
663,16,Bình luậ,330430810957013
635,16,Bình luậ,332383274095100
326,16,Bình luậ,338040356862725
292,16,Bình luậ,330327814300646
430,15,Bình luậ,345301262803301
195,15,Bình luậ,334359160564178
519,15,1 bình luậ,338132936853467
361,15,25 bình luậ,791410124579664
575,15,Bình luậ,334359160564178
333,15,Bình luậ,333932273940200
318,15,Bình luậ,341138466552914
139,15,1 bình luậ,338132936853467
50,15,Bình luậ,345301262803301
581,15,Bình luậ,333932273940200
101,15,Bình luậ,341138466552914
481,15,Bình luậ,341138466552914
201,15,Bình luậ,333932273940200
299,14,2 bình luậ,330029097663851
33,14,1 bình luậ,350273962306031
613,14,Bình luậ,333373770662717
594,14,1 bình luậ,333834277283333
339,14,Bình luậ,333373770662717
214,14,1 bình luậ,333834277283333
413,14,1 bình luậ,350273962306031
46,14,Bình luậ,345342166132544
667,14,Bình luậ,330380140962080
287,14,Bình luậ,330380140962080
426,14,Bình luậ,345342166132544
233,14,Bình luậ,333373770662717
380,13,1 bình luậ,355642098435884
3,13,1 bình luậ,354945115172249
202,13,Bình luậ,333906190609475
482,13,Bình luậ,341128679887226
665,13,Bình luậ,330397694293658
273,13,1 bình luậ,330490007617760
383,13,1 bình luậ,354945115172249
103,13,Bình luậ,341128679887226
653,13,1 bình luậ,330490007617760
582,13,Bình luậ,333906190609475
338,13,Bình luậ,333275737339187
222,13,Bình luậ,333275737339187
285,13,Bình luậ,330397694293658
602,13,Bình luậ,333275737339187
645,12,1 bình luậ,330927647573996
152,12,3 bình luậ,338029396863821
666,12,Bình luậ,330384850961609
532,12,3 bình luậ,338029396863821
142,12,2 bình luậ,338117470188347
73,12,Bình luậ,341724783160949
632,12,Bình luậ,332316914101736
0,12,1 bình luậ,355642098435884
300,12,1 bình luậ,355642098435884
252,12,Bình luậ,332316914101736
522,12,2 bình luậ,338117470188347
376,12,Bình luậ,319083148758446
265,12,1 bình luậ,330927647573996
286,12,Bình luậ,330384850961609
453,12,Bình luậ,341724783160949
355,12,1 bình luậ,325876268079134
429,11,Bình luậ,345314042802023
203,11,1 bình luậ,333895040610590
571,11,Bình luậ,334400043893423
227,11,Bình luậ,333434130656681
284,11,2 bình luậ,330417037625057
243,11,Bình luậ,332876104045817
84,11,Bình luậ,341658279834266
664,11,2 bình luậ,330417037625057
607,11,Bình luậ,333434130656681
464,11,Bình luậ,341658279834266
367,11,Bình luậ,323635368303224
49,11,Bình luậ,345314042802023
623,11,Bình luậ,332876104045817
340,11,Bình luậ,332876104045817
18,11,3 bình luậ,354464368553657
583,11,1 bình luậ,333895040610590
352,11,Bình luậ,326867161313378
191,11,Bình luậ,334400043893423
398,11,3 bình luậ,354464368553657
606,10,1 bình luậ,333377433995684
13,10,Bình luậ,354793771854050
389,10,1 bình luậ,354874038512690
269,10,Bình luậ,331905887476172
9,10,1 bình luậ,354874038512690
599,10,1 bình luậ,333800467286714
386,10,1 bình luậ,354919291841498
134,10,Bình luậ,338186483514779
616,10,Bình luậ,333272624006165
397,10,Bình luậ,354489565217804
396,10,Bình luậ,354511888548905
514,10,Bình luậ,338186483514779
17,10,Bình luậ,354489565217804
379,10,Bình luậ,355872448412849
